Name,Score,Polarity
A,0.534238,Positive
AA,0.510215054,Positive
AACG,0.570731707,Positive
AADI,0.498167539,Negative
AAIC,0.552173913,Positive
AAL,0.532681564,Positive
AAN,0.4625,Negative
AAOI,0.371311475,Negative
AAON,0.489572193,Negative
AAT,0.54673913,Positive
AAWW,0.479268293,Negative
ABB,0.506435644,Positive
ABCB,0.552298851,Positive
ABCL,0.558536585,Positive
ABCM,0.530681818,Positive
ABEO,0.473899371,Negative
ABG,0.46547619,Negative
ABMD,0.474858757,Negative
ABNB,0.547297297,Positive
ABOS,0.554109589,Positive
ABR,0.490236686,Negative
ABST,0.573611111,Positive
ABT,0.563294798,Positive
ABTX,0.567808219,Positive
ABUS,0.562408759,Positive
ACAD,0.520466321,Positive
ACB,0.46547619,Negative
ACCO,0.467708333,Negative
ACEL,0.558163265,Positive
ACGL,0.434090909,Negative
ACHC,0.572155689,Positive
ACHV,0.57,Positive
ACI,0.543048128,Positive
ACIW,0.591176471,Positive
ACLS,0.553409091,Positive
ACM,0.577835052,Positive
ACMR,0.543081761,Positive
ACOR,0.441946309,Negative
ACR,0.523239437,Positive
ACRX,0.53,Positive
ACT,0.477956989,Negative
ACTG,0.548550725,Positive
ACVA,0.544736842,Positive
ACXP,0.467567568,Negative
ADAP,0.405813953,Negative
ADBE,0.5875,Positive
ADC,0.387704918,Negative
ADCT,0.547810219,Positive
ADEA,0.586507937,Positive
ADES,0.489506173,Negative
ADM,0.485,Negative
ADMA,0.540710383,Positive
ADMP,0.335082873,Negative
ADN,0.541472868,Positive
ADNT,0.429569892,Negative
ADP,0.519791667,Positive
ADPT,0.518421053,Positive
ADS,0.544230769,Positive
ADSE,0.460810811,Negative
ADSK,0.519318182,Positive
ADTH,0.562037037,Positive
ADTN,0.534353741,Positive
ADUS,0.562621359,Positive
ADV,0.534146341,Positive
ADXN,0.379064039,Negative
AEG,0.52745098,Positive
AEHL,0.354918033,Negative
AEHR,0.500931677,Positive
AEIS,0.492639594,Negative
AEMD,0.404098361,Negative
AENZ,0.429220779,Negative
AEO,0.559090909,Positive
AEP,0.565662651,Positive
AER,0.46547619,Negative
AERI,0.554761905,Positive
AES,0.479787234,Negative
AEY,0.517816092,Positive
AEYE,0.524251497,Positive
AFCG,0.499206349,Negative
AFG,0.372222222,Negative
AFI,0.574050633,Positive
AFIB,0.478025478,Negative
AFMD,0.441411043,Negative
AFRM,0.48902439,Negative
AFYA,0.558108108,Positive
AGCO,0.552777778,Positive
AGEN,0.3625,Negative
AGFS,0.545522388,Positive
AGFY,0.45,Negative
AGIL,0.511538462,Positive
AGIO,0.540804598,Positive
AGL,0.577272727,Positive
AGM,0.538392857,Positive
AGNC,0.489779006,Negative
AGO,0.444594595,Negative
AGRO,0.458917197,Negative
AGRX,0.547810219,Positive
AGTC,0.520503597,Positive
AHCO,0.53372093,Positive
AHH,0.49079602,Negative
AHT,0.461320755,Negative
AI,0.521134021,Positive
AIH,0.480357143,Negative
AIMC,0.481325301,Negative
AIP,0.323611111,Negative
AIRC,0.451020408,Negative
AIRG,0.507142857,Positive
AIRS,0.557407407,Positive
AJRD,0.567582418,Positive
AJX,0.427777778,Negative
AKA,0.527192982,Positive
AKAM,0.54375,Positive
AKBA,0.568032787,Positive
AKLI,0.565254237,Positive
AKR,0.467073171,Negative
AKTS,0.556666667,Positive
AKU,0.521794872,Positive
AKYA,0.5625,Positive
ALBO,0.56011236,Positive
ALC,0.540710383,Positive
ALDX,0.506382979,Positive
ALG,0.507142857,Positive
ALGM,0.541719745,Positive
ALGN,0.52654321,Positive
ALGT,0.461428571,Negative
ALHC,0.481578947,Negative
ALIM,0.478571429,Negative
ALK,0.535714286,Positive
ALKS,0.501851852,Positive
ALKT,0.489779006,Negative
ALLG,0.532352941,Positive
ALLO,0.561242604,Positive
ALLT,0.413313609,Negative
ALNY,0.579936306,Positive
ALOT,0.506287425,Positive
ALPN,0.56011236,Positive
ALR,0.539705882,Positive
ALRM,0.547637795,Positive
ALRS,0.529781421,Positive
ALSN,0.505670103,Positive
ALT,0.47781457,Negative
ALTG,0.520967742,Positive
ALTO,0.469148936,Negative
ALTR,0.554191617,Positive
ALVO,0.588931298,Positive
ALX,0.492465753,Negative
ALYA,0.518131868,Positive
AMAL,0.561917098,Positive
AMBC,0.40739645,Negative
AMBP,0.443333333,Negative
AMC,0.481632653,Negative
AMCR,0.494444444,Negative
AMCX,0.513636364,Positive
AMD,0.519565217,Positive
AME,0.554040404,Positive
AMED,0.532978723,Positive
AMEH,0.517346939,Positive
AMGN,0.466091954,Negative
AMK,0.563043478,Positive
AMKR,0.45625,Negative
AMLX,0.600819672,Positive
AMOT,0.434210526,Negative
AMP,0.551098901,Positive
AMPG,0.533116883,Positive
AMPH,0.574731183,Positive
AMPL,0.471428571,Negative
AMPS,0.578571429,Positive
AMPX,0.544736842,Positive
AMPY,0.466176471,Negative
AMRC,0.57893401,Positive
AMRK,0.557103825,Positive
AMRN,0.586619718,Positive
AMRS,0.547959184,Positive
AMRX,0.50380117,Positive
AMSC,0.451324503,Negative
AMSF,0.415714286,Negative
AMSWA,0.522093023,Positive
AMTB,0.549470899,Positive
AMTX,0.494155844,Negative
AMWD,0.496153846,Negative
AMWL,0.52431694,Positive
AMX,0.547142857,Positive
AMYT,0.568478261,Positive
AMZN,0.518055556,Positive
AN,0.456451613,Negative
ANDE,0.52755102,Positive
ANF,0.534816754,Positive
ANGI,0.48625731,Negative
ANGO,0.544444444,Positive
ANIK,0.504625551,Positive
ANIP,0.587984496,Positive
ANSS,0.554191617,Positive
ANTM,0.552564103,Positive
AOMR,0.451104972,Negative
AON,0.527118644,Positive
AORT,0.367948718,Negative
AOS,0.514197531,Positive
AP,0.494155844,Negative
APA,0.524213836,Positive
APAM,0.516336634,Positive
APD,0.547196262,Positive
APDN,0.503658537,Positive
APEI,0.515248227,Positive
APEN,0.559090909,Positive
APG,0.538888889,Positive
APH,0.507923497,Positive
API,0.458988764,Negative
APLD,0.525,Positive
APLS,0.516666667,Positive
APO,0.525675676,Positive
APOG,0.566666667,Positive
APP,0.561917098,Positive
APPF,0.579292929,Positive
APPH,0.533333333,Positive
APPN,0.508585859,Positive
APPS,0.573076923,Positive
APTO,0.532352941,Positive
APTX,0.513013699,Positive
APYX,0.496153846,Negative
AQMS,0.536227545,Positive
AQN,0.56588785,Positive
AQST,0.473529412,Negative
AQUA,0.567073171,Positive
AR,0.451242236,Negative
ARAY,0.512944162,Positive
ARBE,0.549328859,Positive
ARBK,0.48908046,Negative
ARC,0.500220264,Positive
ARCB,0.553381643,Positive
ARCC,0.51631016,Positive
ARCE,0.513414634,Positive
ARCH,0.538888889,Positive
ARCO,0.5875,Positive
ARCT,0.563333333,Positive
ARD,0.475581395,Negative
ARDX,0.535844749,Positive
ARE,0.519109948,Positive
AREC,0.552298851,Positive
ARGO,0.305844156,Negative
ARGX,0.559090909,Positive
ARHS,0.536597938,Positive
ARI,0.536792453,Positive
ARIS,0.545705521,Positive
ARKO,0.529310345,Positive
ARLP,0.509459459,Positive
AROC,0.546551724,Positive
ARQQ,0.576666667,Positive
ARQT,0.532352941,Positive
ARR,0.519281046,Positive
ARRY,0.443939394,Negative
ARVL,0.554109589,Positive
ARW,0.529120879,Positive
ASAI,0.525816993,Positive
ASAN,0.584782609,Positive
ASAP,0.366312057,Negative
ASH,0.495410628,Negative
ASIX,0.525675676,Positive
ASLE,0.490236686,Negative
ASML,0.421604938,Negative
ASND,0.528980892,Positive
ASO,0.540547264,Positive
ASPN,0.461764706,Negative
ASPS,0.465642458,Negative
ASPU,0.466666667,Negative
ASR,0.491726619,Negative
ASRT,0.469767442,Negative
ASTE,0.565254237,Positive
ASTR,0.497457627,Negative
ASTS,0.470224719,Negative
ASUR,0.54893617,Positive
ASX,0.451204819,Negative
ASYS,0.527005348,Positive
ATAI,0.525,Positive
ATAX,0.448742138,Negative
ATCO,0.523563218,Positive
ATCX,0.517346939,Positive
ATEC,0.58442623,Positive
ATEN,0.495744681,Negative
ATER,0.45,Negative
ATGE,0.523015873,Positive
ATHX,0.492105263,Negative
ATI,0.525,Positive
ATIP,0.531355932,Positive
ATKR,0.56959799,Positive
ATNI,0.561392405,Positive
ATNX,0.525816993,Positive
ATO,0.559090909,Positive
ATOM,0.512637363,Positive
ATR,0.555555556,Positive
ATRA,0.559774436,Positive
ATRC,0.501674641,Positive
ATRO,0.445031056,Negative
ATSG,0.505555556,Positive
ATTO,0.50026738,Positive
ATUS,0.545,Positive
ATXS,0.507142857,Positive
ATY,0.545522388,Positive
AU,0.409493671,Negative
AUB,0.446610169,Negative
AUD,0.50380117,Positive
AUDC,0.465789474,Negative
AUGX,0.493023256,Negative
AUID,0.440123457,Negative
AUPH,0.487662338,Negative
AUR,0.529310345,Positive
AUTL,0.497560976,Negative
AUTO,0.437709497,Negative
AUVI,0.468181818,Negative
AUY,0.51407767,Positive
AVAH,0.428325123,Negative
AVAL,0.401515152,Negative
AVAV,0.47,Negative
AVB,0.483333333,Negative
AVD,0.529120879,Positive
AVDL,0.567874396,Positive
AVDX,0.546174863,Positive
AVEO,0.502216749,Positive
AVGO,0.45952381,Negative
AVGR,0.530952381,Positive
AVID,0.553381643,Positive
AVIR,0.4,Negative
AVLR,0.509375,Positive
AVNS,0.42173913,Negative
AVNT,0.502791878,Positive
AVPT,0.506382979,Positive
AVY,0.504748603,Positive
AVYA,0.49516129,Negative
AWH,0.457291667,Negative
AWI,0.507142857,Positive
AWR,0.425,Negative
AWRE,0.557284768,Positive
AXDX,0.538888889,Positive
AXGN,0.468181818,Negative
AXL,0.496153846,Negative
AXLA,0.524213836,Positive
AXNX,0.494827586,Negative
AXON,0.556862745,Positive
AXP,0.54017341,Positive
AXSM,0.516666667,Positive
AXTA,0.535,Positive
AXTI,0.404010695,Negative
AY,0.582885906,Positive
AYI,0.578961749,Positive
AYRO,0.533211679,Positive
AYTU,0.483333333,Negative
AZN,0.465920398,Negative
AZO,0.50483871,Positive
AZPN,0.577184466,Positive
AZRE,0.552097902,Positive
AZTA,0.532022472,Positive
AZUL,0.453921569,Negative
AZYO,0.521794872,Positive
AZZ,0.576108374,Positive
B,0.542156863,Positive
BA,0.530597015,Positive
BAER,0.409036145,Negative
BAH,0.550943396,Positive
BAK,0.408064516,Negative
BALL,0.555063291,Positive
BALY,0.5530837,Positive
BAND,0.498484848,Negative
BANR,0.509375,Positive
BANX,0.568918919,Positive
BASE,0.504368932,Positive
BATRA,0.565789474,Positive
BB,0.52755102,Positive
BBBY,0.508064516,Positive
BBGI,0.512068966,Positive
BBI,0.470689655,Negative
BBIG,0.534422111,Positive
BBSI,0.466091954,Negative
BBU,0.533040936,Positive
BBVA,0.531081081,Positive
BCAB,0.431818182,Negative
BCC,0.477777778,Negative
BCDA,0.413736264,Negative
BCE,0.509296482,Positive
BCEL,0.312251656,Negative
BCH,0.465533981,Negative
BCLI,0.525,Positive
BCO,0.577272727,Positive
BCOR,0.538198758,Positive
BCOV,0.565789474,Positive
BCPC,0.488709677,Negative
BCRX,0.52804878,Positive
BCS,0.405813953,Negative
BCSF,0.483333333,Negative
BDC,0.586936937,Positive
BDSX,0.525,Positive
BDX,0.548989899,Positive
BE,0.530503145,Positive
BEAT,0.452259887,Negative
BECN,0.527192982,Positive
BEEM,0.474390244,Negative
BEKE,0.498780488,Negative
BELFB,0.479113924,Negative
BEN,0.578994083,Positive
BEPC,0.575531915,Positive
BFAM,0.542045455,Positive
BFH,0.459815951,Negative
BFI,0.487209302,Negative
BFIN,0.536904762,Positive
BFLY,0.545953757,Positive
BFRI,0.567127072,Positive
BFST,0.507923497,Positive
BG,0.473529412,Negative
BGCP,0.573529412,Positive
BGFV,0.435234899,Negative
BGRY,0.469548872,Negative
BGS,0.4375,Negative
BGSF,0.541428571,Positive
BHF,0.5,Positive
BHG,0.494036697,Negative
BHLB,0.543854749,Positive
BHR,0.544736842,Positive
BIDU,0.589226519,Positive
BIG,0.510465116,Positive
BIGC,0.508695652,Positive
BIIB,0.452547771,Negative
BILI,0.516336634,Positive
BILL,0.563705584,Positive
BIOC,0.373756906,Negative
BIOL,0.544444444,Positive
BIOR,0.51627907,Positive
BIP,0.508757062,Positive
BIRD,0.547435897,Positive
BITF,0.55797546,Positive
BJRI,0.561111111,Positive
BK,0.527659574,Positive
BKCC,0.463253012,Negative
BKH,0.559090909,Positive
BKI,0.571568627,Positive
BKNG,0.484254144,Negative
BKR,0.581034483,Positive
BKSY,0.562790698,Positive
BKU,0.513636364,Positive
BKYI,0.537179487,Positive
BL,0.544736842,Positive
BLBD,0.423480663,Negative
BLBX,0.502941176,Positive
BLCO,0.543258427,Positive
BLD,0.515921788,Positive
BLDE,0.518263473,Positive
BLDP,0.458641975,Negative
BLDR,0.534792627,Positive
BLFS,0.498484848,Negative
BLFY,0.527094972,Positive
BLI,0.546296296,Positive
BLIN,0.574137931,Positive
BLK,0.529807692,Positive
BLKB,0.565343915,Positive
BLL,0.494594595,Negative
BLMN,0.543401015,Positive
BLNK,0.545061728,Positive
BLRX,0.552597403,Positive
BLTE,0.396753247,Negative
BLZE,0.566666667,Positive
BMBL,0.563978495,Positive
BMRC,0.510824742,Positive
BMRN,0.576136364,Positive
BMY,0.52804878,Positive
BN,0.590298507,Positive
BNFT,0.518131868,Positive
BNGO,0.531578947,Positive
BNL,0.50380117,Positive
BNR,0.366666667,Negative
BNTX,0.41875,Negative
BOH,0.503535354,Positive
BOKF,0.542376682,Positive
BON,0.513247863,Positive
BOOM,0.502459016,Positive
BOOT,0.56011236,Positive
BORR,0.460218978,Negative
BOSC,0.576470588,Positive
BOWL,0.545833333,Positive
BOXD,0.578571429,Positive
BOXL,0.502760736,Positive
BPMC,0.497457627,Negative
BPOP,0.525675676,Positive
BPTH,0.416233766,Negative
BQ,0.497533632,Negative
BR,0.58442623,Positive
BRAG,0.564110429,Positive
BRBR,0.498837209,Negative
BRC,0.521559633,Positive
BRCC,0.56011236,Positive
BRFH,0.36875,Negative
BRFS,0.515921788,Positive
BRKL,0.547142857,Positive
BRKR,0.52434555,Positive
BRLT,0.545604396,Positive
BRMK,0.505555556,Positive
BROS,0.485294118,Negative
BRP,0.542473118,Positive
BRSP,0.4625,Negative
BRX,0.498167539,Negative
BRY,0.561917098,Positive
BSAC,0.457106599,Negative
BSIG,0.597058824,Positive
BSQR,0.498958333,Negative
BSVN,0.543203883,Positive
BSY,0.568918919,Positive
BTAI,0.435714286,Negative
BTI,0.542857143,Positive
BTRS,0.503333333,Positive
BTTX,0.572651934,Positive
BTU,0.482402235,Negative
BUD,0.54010989,Positive
BUR,0.443296089,Negative
BURL,0.497457627,Negative
BV,0.605882353,Positive
BVS,0.522222222,Positive
BWA,0.569708029,Positive
BWAY,0.513636364,Positive
BWB,0.545522388,Positive
BWEN,0.582098765,Positive
BWMN,0.523786408,Positive
BWMX,0.485978836,Negative
BWXT,0.572651934,Positive
BX,0.567073171,Positive
BXC,0.505555556,Positive
BXP,0.502348993,Positive
BXRX,0.473529412,Negative
BYND,0.487078652,Negative
BYRN,0.404385965,Negative
